Date,Year,Month,Day,Euro95_EUR,Diesel_EUR,LPG_EUR,Exchangerate,Euro95_BRL,Diesel_BRL,LPG_BRL
1/1/2016,2016,1,1,1.438,1.067,0.601,4.4023,6.3305074,4.6972541,2.6457823
1/2/2016,2016,1,2,1.436,1.067,0.584,4.4023,6.3217028,4.6972541,2.5709432
1/3/2016,2016,1,3,1.438,1.067,0.591,4.4023,6.3305074,4.6972541,2.6017593
1/4/2016,2016,1,4,1.44,1.07,0.591,4.4023,6.339312,4.710461,2.6017593
1/5/2016,2016,1,5,1.444,1.073,0.588,4.3023,6.2125212,4.6163679,2.5297524
1/6/2016,2016,1,6,1.449,1.072,0.593,4.3331,6.2786619,4.6450832,2.5695283
1/7/2016,2016,1,7,1.448,1.072,0.59,4.4001,6.3713448,4.7169072,2.596059
1/8/2016,2016,1,8,1.447,1.071,0.592,4.3685,6.3212195,4.6786635,2.586152
1/9/2016,2016,1,9,1.444,1.067,0.593,4.3786,6.3226984,4.6719662,2.5965098
1/10/2016,2016,1,10,1.445,1.067,0.585,4.3786,6.327077,4.6719662,2.561481
1/11/2016,2016,1,11,1.446,1.07,0.59,4.3786,6.3314556,4.685102,2.583374
1/12/2016,2016,1,12,1.44,1.064,0.597,4.3704,6.293376,4.6501056,2.6091288
1/13/2016,2016,1,13,1.436,1.059,0.595,4.3214,6.2055304,4.5763626,2.571233
1/14/2016,2016,1,14,1.433,1.056,0.588,4.373,6.266509,4.617888,2.571324
1/15/2016,2016,1,15,1.434,1.056,0.592,4.4139,6.3295326,4.6610784,2.6130288
1/16/2016,2016,1,16,1.427,1.046,0.583,4.3929,6.2686683,4.5949734,2.5610607
1/17/2016,2016,1,17,1.427,1.046,0.582,4.3929,6.2686683,4.5949734,2.5566678
1/18/2016,2016,1,18,1.428,1.048,0.596,4.3929,6.2730612,4.6037592,2.6181684
1/19/2016,2016,1,19,1.422,1.041,0.594,4.3758,6.2223876,4.5552078,2.5992252
1/20/2016,2016,1,20,1.419,1.036,0.586,4.4559,6.3229221,4.6163124,2.6111574
1/21/2016,2016,1,21,1.414,1.029,0.579,4.523,6.395522,4.654167,2.618817
1/22/2016,2016,1,22,1.414,1.024,0.579,4.455,6.29937,4.56192,2.579445
1/23/2016,2016,1,23,1.414,1.022,0.576,4.4276,6.2606264,4.5250072,2.5502976
1/24/2016,2016,1,24,1.415,1.023,0.577,4.4276,6.265054,4.5294348,2.5547252
1/25/2016,2016,1,25,1.417,1.026,0.572,4.4276,6.2739092,4.5427176,2.5325872
1/26/2016,2016,1,26,1.42,1.025,0.576,4.4465,6.31403,4.5576625,2.561184
1/27/2016,2016,1,27,1.419,1.023,0.582,4.3963,6.2383497,4.4974149,2.5586466
1/28/2016,2016,1,28,1.418,1.023,0.573,4.4753,6.3459754,4.5782319,2.5643469
1/29/2016,2016,1,29,1.421,1.03,0.575,4.4294,6.2941774,4.562282,2.546905
1/30/2016,2016,1,30,1.422,1.031,0.572,4.3511,6.1872642,4.4859841,2.4888292
1/31/2016,2016,1,31,1.423,1.031,0.574,4.3511,6.1916153,4.4859841,2.4975314
2/1/2016,2016,2,1,1.425,1.034,0.57,4.3511,6.2003175,4.4990374,2.480127
2/2/2016,2016,2,2,1.429,1.037,0.569,4.3565,6.2254385,4.5176905,2.4788485
2/3/2016,2016,2,3,1.428,1.037,0.577,4.328,6.180384,4.488136,2.497256
2/4/2016,2016,2,4,1.424,1.036,0.569,4.3486,6.1924064,4.5051496,2.4743534
2/5/2016,2016,2,5,1.425,1.044,0.574,4.3454,6.192195,4.5365976,2.4942596
2/6/2016,2016,2,6,1.418,1.043,0.564,4.3245,6.132141,4.5104535,2.439018
2/7/2016,2016,2,7,1.42,1.043,0.556,4.3245,6.14079,4.5104535,2.404422
2/8/2016,2016,2,8,1.42,1.046,0.56,4.3245,6.14079,4.523427,2.42172
2/9/2016,2016,2,9,1.416,1.046,0.569,4.3741,6.1937256,4.5753086,2.4888629
2/10/2016,2016,2,10,1.409,1.044,0.564,4.3758,6.1655022,4.5683352,2.4679512
2/11/2016,2016,2,11,1.398,1.041,0.565,4.4836,6.2680728,4.6674276,2.533234
2/12/2016,2016,2,12,1.393,1.038,0.566,4.5087,6.2806191,4.6800306,2.5519242
2/13/2016,2016,2,13,1.388,1.033,0.563,4.4567,6.1858996,4.6037711,2.5091221
2/14/2016,2016,2,14,1.388,1.034,0.561,4.4567,6.1858996,4.6082278,2.5002087
2/15/2016,2016,2,15,1.389,1.036,0.558,4.4567,6.1903563,4.6171412,2.4868386
2/16/2016,2016,2,16,1.388,1.036,0.563,4.4833,6.2228204,4.6446988,2.5240979
2/17/2016,2016,2,17,1.388,1.034,0.559,4.4866,6.2274008,4.6391444,2.5080094
2/18/2016,2016,2,18,1.38,1.034,0.564,4.4527,6.144726,4.6040918,2.5113228
2/19/2016,2016,2,19,1.38,1.043,0.561,4.4854,6.189852,4.6782722,2.5163094
2/20/2016,2016,2,20,1.377,1.042,0.56,4.3755,6.0250635,4.559271,2.45028
2/21/2016,2016,2,21,1.379,1.042,0.547,4.3755,6.0338145,4.559271,2.3933985
2/22/2016,2016,2,22,1.38,1.045,0.564,4.3755,6.03819,4.5723975,2.467782
2/23/2016,2016,2,23,1.374,1.045,0.557,4.357,5.986518,4.553065,2.426849
2/24/2016,2016,2,24,1.371,1.044,0.558,4.3793,6.0040203,4.5719892,2.4436494
